number,value,datetime_start,datetime_complete,duration,params_classifier,params_dt_criterion,params_dt_max_depth,params_dt_min_samples_split,params_gb_learning_rate,params_gb_max_depth,params_gb_n_estimators,params_rf_max_depth,params_rf_min_samples_split,params_rf_n_estimators,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_n_estimators,params_xgb_subsample,state
31,0.8404191739746565,2025-09-14 14:05:11.599182,2025-09-14 14:05:19.311889,0 days 00:00:07.712707,RandomForest,,,,,,,21.0,3.0,185.0,,,,,,COMPLETE
32,0.8416473270214209,2025-09-14 14:05:19.314743,2025-09-14 14:05:29.102397,0 days 00:00:09.787654,RandomForest,,,,,,,22.0,2.0,237.0,,,,,,COMPLETE
33,0.8341837121939328,2025-09-14 14:05:29.104443,2025-09-14 14:05:37.687622,0 days 00:00:08.583179,RandomForest,,,,,,,15.0,4.0,242.0,,,,,,COMPLETE
34,0.8054610127931865,2025-09-14 14:05:37.692063,2025-09-14 14:06:53.090213,0 days 00:01:15.398150,GradientBoosting,,,,0.2165836064293503,3.0,296.0,,,,,,,,,COMPLETE
35,0.8392856281805494,2025-09-14 14:06:53.092787,2025-09-14 14:07:01.946318,0 days 00:00:08.853531,RandomForest,,,,,,,22.0,4.0,239.0,,,,,,COMPLETE
36,0.7397016054212322,2025-09-14 14:07:01.951798,2025-09-14 14:07:03.250917,0 days 00:00:01.299119,XGBoost,,,,,,,,,,0.9508540874404464,0.2843449597172311,2.0,57.0,0.5068855637497914,COMPLETE
37,0.8230347006365786,2025-09-14 14:07:03.272685,2025-09-14 14:13:03.012878,0 days 00:05:59.740193,GradientBoosting,,,,0.011607304008868988,10.0,294.0,,,,,,,,,COMPLETE
38,0.8114140368767373,2025-09-14 14:13:03.017498,2025-09-14 14:13:09.467389,0 days 00:00:06.449891,RandomForest,,,,,,,12.0,6.0,194.0,,,,,,COMPLETE
39,0.8196329024290714,2025-09-14 14:13:09.469402,2025-09-14 14:13:20.980167,0 days 00:00:11.510765,XGBoost,,,,,,,,,,0.9240370319468894,0.06773280347335901,6.0,164.0,0.5849565295969416,COMPLETE
40,0.8370179115326197,2025-09-14 14:13:20.987066,2025-09-14 14:13:32.472299,0 days 00:00:11.485233,RandomForest,,,,,,,17.0,3.0,274.0,,,,,,COMPLETE
41,0.8430647838677444,2025-09-14 14:13:32.474812,2025-09-14 14:13:41.152403,0 days 00:00:08.677591,RandomForest,,,,,,,24.0,2.0,187.0,,,,,,COMPLETE
42,0.8428758372451653,2025-09-14 14:13:41.156042,2025-09-14 14:13:49.235992,0 days 00:00:08.079950,RandomForest,,,,,,,24.0,2.0,189.0,,,,,,COMPLETE
43,0.8425923280170515,2025-09-14 14:13:49.238000,2025-09-14 14:13:57.136758,0 days 00:00:07.898758,RandomForest,,,,,,,25.0,2.0,185.0,,,,,,COMPLETE
44,0.7207109518498643,2025-09-14 14:13:57.138765,2025-09-14 14:14:07.650473,0 days 00:00:10.511708,GradientBoosting,,,,0.09697413801630855,2.0,57.0,,,,,,,,,COMPLETE
45,0.8424035153358401,2025-09-14 14:14:07.653395,2025-09-14 14:14:17.396852,0 days 00:00:09.743457,RandomForest,,,,,,,24.0,2.0,225.0,,,,,,COMPLETE
46,0.8413640410289197,2025-09-14 14:14:17.396852,2025-09-14 14:14:27.276834,0 days 00:00:09.879982,RandomForest,,,,,,,25.0,2.0,224.0,,,,,,COMPLETE
47,0.8337113902846076,2025-09-14 14:14:27.278374,2025-09-14 14:14:37.932881,0 days 00:00:10.654507,XGBoost,,,,,,,,,,0.5173586957607568,0.05770560131118948,8.0,297.0,0.958453797651873,COMPLETE
48,0.8296483681923185,2025-09-14 14:14:37.936576,2025-09-14 14:14:46.531765,0 days 00:00:08.595189,RandomForest,,,,,,,24.0,10.0,262.0,,,,,,COMPLETE
49,0.731387552203648,2025-09-14 14:14:46.531765,2025-09-14 14:14:46.813990,0 days 00:00:00.282225,DecisionTree,entropy,32.0,50.0,,,,,,,,,,,,COMPLETE
