number,value,datetime_start,datetime_complete,duration,params_classifier,params_knn_algorithm,params_knn_n_neighbors,params_knn_weights,params_svc_C,params_svc_kernel,state
38,0.4485067323396074,2025-09-14 13:20:35.480988,2025-09-14 13:20:35.550667,0 days 00:00:00.069679,NaiveBayes,,,,,,COMPLETE
39,0.7661564095855586,2025-09-14 13:20:35.550667,2025-09-14 13:20:37.172004,0 days 00:00:01.621337,KNN,ball_tree,3.0,distance,,,COMPLETE
40,0.7355434403108154,2025-09-14 13:20:37.173793,2025-09-14 13:20:37.490649,0 days 00:00:00.316856,KNN,auto,23.0,distance,,,COMPLETE
41,0.7687079033443374,2025-09-14 13:20:37.492831,2025-09-14 13:20:39.163504,0 days 00:00:01.670673,KNN,ball_tree,4.0,distance,,,COMPLETE
42,0.7661564095855586,2025-09-14 13:20:39.163504,2025-09-14 13:20:40.883197,0 days 00:00:01.719693,KNN,ball_tree,3.0,distance,,,COMPLETE
43,0.7497162675362736,2025-09-14 13:20:40.891308,2025-09-14 13:20:42.074361,0 days 00:00:01.183053,KNN,kd_tree,14.0,distance,,,COMPLETE
44,0.7687079033443374,2025-09-14 13:20:42.077319,2025-09-14 13:20:43.689532,0 days 00:00:01.612213,KNN,ball_tree,4.0,distance,,,COMPLETE
45,0.7394178283103832,2025-09-14 13:20:43.693326,2025-09-14 13:20:44.686353,0 days 00:00:00.993027,KNN,kd_tree,9.0,uniform,,,COMPLETE
46,0.7627545667309287,2025-09-14 13:20:44.686353,2025-09-14 13:20:46.495439,0 days 00:00:01.809086,KNN,ball_tree,7.0,distance,,,COMPLETE
47,0.4497377428022141,2025-09-14 13:20:46.498547,2025-09-14 13:20:59.274095,0 days 00:00:12.775548,SVC,,,,1.021896570110137,sigmoid,COMPLETE
48,0.7661564095855586,2025-09-14 13:20:59.275167,2025-09-14 13:21:00.892973,0 days 00:00:01.617806,KNN,ball_tree,3.0,distance,,,COMPLETE
49,0.7441419403460866,2025-09-14 13:21:00.897231,2025-09-14 13:21:01.149694,0 days 00:00:00.252463,KNN,auto,6.0,uniform,,,COMPLETE
